,Game Index,Delta,Target Lives,CNN Lives,CNN Errors,GA Lives,GA Errors,Target State,CNN Start,GA Start
10,50010,4,83,449,78,461,56,0000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010100000000000000000111010000101011110000000100000001011100000000000000001110100000110000000000110111100001100000000000011000111000100000000000000101100101100000000110000011100100000000000011000000011100000000000000000000000000000000000000000010000000000000000000000010100000000000000000000000100000000000000000000000000000000000000000000000000000000000000011100000000000000100000001010000000010000000100110111000000001000000110001000000000000000000001000100000111000000000000000000000,1001111111111111001100111100111111111110000110011101111111111111111111001111111111111111111111100111111111111111111100111111101101111111001100101111101110111111001110011000100100011111100111001100110010001111010010001101101001101111110011011001001011111111111110011001100111111110011111001001110011111111001111001100110011111111100111100110011111111111100110111110011111111111111111100111111111111111001111110011111111111000011111011001111011111100111111111001110011111110111111111111111001111111010011111110011100100110011001111111001100110011001100110011100111111001100100101001100111111001110011101100111111101111101111011,1001111111111111001100111110111111111110000110011101111111111111111111001111111111111111111111100111111111111111111100111111101111111111001100111111101111111111001110111000100100011111100111001100110010011111010010001101101001111111110011011001001011111111111110011001100111111110011111001001110011111111001111101100110011111111100111100110011111111111100110111110011111111111111111100111111111111111011111110011111111111000011111011001111011111100111111111001110011111110111111111111111001111111010011111110111101100110011001111111001100110011001100110001101111111001100100101001100111111001110011101100111111111111101111011
11,50011,3,119,424,91,428,61,0000111000000000000000000000011110000000000001100011000111000000000000110001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000000110000000000000101000000000000000000000001100000000000000010000000101011000000000001000011011111000000000000010001100110001100000000001001000000001100000000001110000001001010100001000000000100101101010000000000010010001000100100100000110111000010010010010000100000000010001000000011000000000011001100000010100000000000110110000001110000000000010011111000010000000000111000101100000000000000101000010110000000000000001000011100000,1110100011100111010110111001101100111111100110101101011001011111111110100101010111011111111111100110001011011111111111111111111011111111111111111111111111111100011101111110001111111101010111111110101011111111010100111111101011111101111101110111111111111001111000100000111111111100011001001111101111111111101101011000001010111111100111011101110101111101101100101101001010101101011001101010011001010110001110110101110010100100101110100100111011010101101110101100111010001010101100100111111100101011111100101111111110100101101110101111111110010110101011010111111100110110101001110111011110100111010101111110010111001011101011111,1110100011100111010110111001101100111111100110101101011001011111111110100101010111011111111111100110001011011111111111111111111111111111111111111111111111111100011101111110001111111101010111111110101011111111010100111111101011111101111111110111111111111001111000100000111111111100011001001111101011111111101101011000001011111111100111010111110101111101101100101101001110101100011001101010011001011110011110110101110010100100101110100100111010010101101110101100111010001111111100100111111100101011111100101111111110100101101110101111111110010110001011010111111100110110101001110111011110100111010001111110010111001011101011111
12,50012,1,22,570,0,579,0,0000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000010000011000000000000000001110001100000000000000001010000000000000000000000101000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1111111111111111111111111111111111111111111111111110011111111111111111111110010111111111111111101111010011111111111111111111110011111111111111111110011111001111111111111111010011011011111111111011100110100001111111111101101000011001111111111110110101111111111111111111011001011111111111111111111110011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100111111111111111111111101101111111111111111111110000111111111111111111111100111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,1111111111111111111111111111111111111111111111111110011111111111111111111110010111111111111111111111010011111111111111111111110011111111111111111111011111101111111111111111010011011011111111111111100110100001111111111111111000011001111111111111110101111111111111111111111001011111111111111111111110011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111101101111111111111111111110000111111111111111111111100111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
13,50013,1,193,322,39,327,26,0000001110000000110001001000011100000000000000000000001101100011000000000100000000000001000000010010000100001100110111011001000011000100111001010000110000000010111010001000010000001100011100000000001000001010001100110001000000000111000010100100000100000000110000100001001011000000100000000001110101001110000000000000111000000000110110111000101111100000000110010010110111000000001010000001111000101101101010000001000010100010110110001000110000110000101000100000000000011001001101011010001000001100000110101110000000000010000001101101011000011010001001100000101000001110100110010000100110000010001110001000000111000001011000000,0111101010111110000101011011000000111001100111010011101101111001111111011101111011000110010010010010010101110110110100001001011001010100100001010011001110010010100011101111100111101101100111011001101011101001100100100111011011110100010010100101000101111100110110101101011001000011100111101110011101001010010011001110000010111010110110001000101001101111100010010010010110000100101000111101001000101101001010111101001010101010010100111010011110011100100100110001100111000001001001000011111011111001011000100100010011010011101100101101011011001010100011101100101001100010100010000110100100111010001110111011110101011111011000110,0111101010111110000101011011000000111001100111010011100101111001111111011101111011000110010010010010010101110110110100001001011001010100100001010011001110010010100011101111100111101101100111011001101011101001100100100111011011110100010010100101000101111100110110101101001001000011100111101110011101001010010011001110100010111010110110001000101001101111100010010010010110000100101000111101001100101101001010111101001010101010010100111010011110011100100110110101100111000011101011000011111011111001011000100100010011010011111100101101011011001010100011101000101001100010100010000110100100111010001110111011110101011111011000110
14,50014,5,43,27,18,27,15,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000001000000000000010010000011011000000000000110000001111100000000000000000001101100000000000000000000001000000000000000001000000000000000000000001010000000000000000000000101000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000001110000000000000110000000000100000000000011000000001110000000000000000000000000000000000000000000000000110000000000000000000000010000000000000000000000001000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001100000000110000000000000100000000110000000000000000000000000000000000000000000000100000000000000000000000001100000000000000000110000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000000000010000000011000000000000011000000001000000000000000000000000000001000000000000000000000000000000000000000000000001000000000000000000000001100000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001100000000110000000000000100000000110000000000000000000000001000000000000000000001000000000000000000000000001100000000000000000110000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000000000010000000011000000000000011000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001100000000000000
15,50015,3,52,511,19,512,15,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000011110000000000000000000001000100000000000000000010011110000000000000000010001000000000000000110001000000000000000000011000100000000000000000000000000000000000000000000000001000000000000010000011000111000000000111100010100001100000000010010000100000010100000001100100000000000001000000001100000000000011000000000010,0011111111101111111111111111111111111111111111111111111111111111111111110011111111111111111111111111111111111111111111111111111111111111111111111110000111111111111111111110101111111111111111111111101011111111111111111111111111111111111100111111111111111101111111101111111111111111111001100011111111111111111111001110011101111111111111101000101111111111111111001011100111111111110011001010001111111111110100101011101111111111111101011011000101111111000111011101111111111111110111001101011111111111001110010010010011111111001011010101100111001111101010010101111010010111110100101100111110010011111101101111111111010111111111001,1011111111101111111111111111111111111111111111111111111111111111111111110011111111111111111111111111111111111111111111111111111111111111111111111110000111111111111111111110101111111111111111111111101011111111111111111111111111111111111100111111111111111111111110101111111111111101111001100011111111111111111111001110011111111111111111101000101111111111111111001011100111111111110011001010001111111111110100101011101111111111111101011011000101111111000111011101111111111111110111001101011111111111001110010010010011111111001011010101100111001111101010010101111110010111110100101100111110010011111101001111111111010111111111001
16,50016,1,65,487,2,489,2,0000000000000000000000000000000000000000000000000000000000100000000000000000000000111000000000000000000000111100000000000101001110110000111000000110100000111001101000000100000000011101111010000000000000000110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011100000000000001000000000000000000000001010000000000000000000000000100000000000000000000100100101000000000000000000100010110000000000011000000000100110000000010110010000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000,1111111111111111111111111111111111111111111011111111111110100111111111111111111110000011111111110001100010010111001111100101001110010100100111110110101000000111001001110100101111110101001011111001111111110010000110011111111111111000111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111000011111111111010111111011101111111111001001111110001111111111101010111111111111111111100110101101111111111111110110100101001111111111001100100010010011111110010011001110100110111111010010110111001100111111001010010011111111111111100011111111111111111111111111111111111111111111111,1111111111111111111111111111111111111111111011111111111110100111111111111111111110000011111111110011100010110111001111100101001110010100100111110110101000000111001001110100101111110101001011111001111111110010000110011111111111111000111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111000011111111111010111111011101111111111001001111110001111111111101010111111111111111111100110101101111111111111110110100101001111111111001100100010010011111110010011001110100110111111010010110111001100111111001010010011111111111111100011111111111111111111111111111111111111111111111
17,50017,2,156,352,79,362,60,0010000000000000000000001001000000000000000000000000000000010000000000000100010000100010000000000110101100010001100000000001010110011010100100000010000000001000000111000011011000000100000011010110001000010010000000000000010000010100001001001000001000110011000001110100000000000000010000000010101100000011000111110100000101100001010000100000100110100110101000011010010000000010001000000001100000111101000000000011011000000110000000000000110001100001101110000000001000011000100001000000000001111100010001000001100010100000001000000010010000110000000100100011011001000100000000100000101000011001011100001010000000001001000010000,0010111110111000111001111100111110101111111110110001011101010011111111110110010111010010111111111010100011010010011111111001011100100010101001111010100010110111011001011110101111101101111101010010000010001011010111100010011110110100001001011010010111010101010011010100100111001001010100000010101100111101010001111100110101001101010110100100101010110000101011101010001100100110101011110101101111001101111001111101001101110010010011111110011011001100111100111111100110001011010001011100111100110011100101000101101100100101100100011010010111110111011001101100100110000101010110001010101010111100101011111010110111000001011101110,0010111111111000111001111100111110101111111110110001011111010011111111110110010111010010111111111010100011010010011111111001011100100010101001111010100011110111011001011110101111101101111101010010000010001011011011100010011110110101001001011010010111010111010011010100100111101001010100000010101100111101010001111100110101001101010110100100111010110000101011101010001100100110101011110101101111001101111001111101001111110010010011111110011011001100111100111111100110001011010001011100111100110011100101010101101100100101100100011010010111110111011001101100100110000101010110001010101010111100101011111010110111000001111101110
18,50018,1,4,611,0,4,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011100111111111111111111101101101111111111111111110110000111111111111111111111100111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19,50019,4,48,504,34,507,21,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000100100000000111000000000010010000000100010000000000110000000010001000000000000000000001000100000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000110010000000000000000000010001000000000000000000001001000000000000000000000010000000000000000000000000100000000000000000000000000000000011110000000000000000000001000001000000000000000000010000000000000000000000000100011000000000000000000010000100000000000000000000011100000000000000000000000110000000000,1111111111111110011111111111111111111111001111111111111111111001000111111111111111111001111111111011101111011100111111110001111011111110010111100111000101110110011011111000010000111110110011111111001111111111001111111111110011111111111111111111100111111111111111111111111111101111111111111111111110001001111111111111111110111010111111111111111101001001111111111111111110101100111110001111111111111110111111001111111111111110011111000110010000111111001111101110011000111111111111110011001111111111111111111011100111001111111111111111111101001011111111111111111001100111111111111111111100110011111111111111111110010011101111111,1111111111111110011111111111111111111111001111111111111111111001000111111111111111111001111111111010101111111100111111110001111011111110010111110111000101111110011011111100010000111110110011111011011111111111001111111111010011111111111111111111100011111111111111111111111111101111111111111111111110001001111111111111111110111010111111111111111101001001111111111111111110101100111110011111111111111110111111001111111111111110011111000110010000111111001111101110011101111111111111110111001110011111111111111011100111001111111111111111111101001011111111111111111001100111111111111111111110110011111111111111111110010001101111111
20,50020,4,155,378,152,393,109,1111000000110000000100011000101100011000000110010100000001101000110001010010111101001100000001001011001001100011000000010100000011111000000000110111010001000000000000110001011000000101000010000110001000110110100100010011010000000000000100010100001000010000000000000001000110000100100000001000100000000010100000000100000000000000000000000010000000000000000000000000011000000000000001100000101100000011000001101000011000000000000011100100000000000000000001100110000000000000000000100010000000000010001110000010001000000011101101000001001110000001101000111011001001000000001001001100000110000000000000000011000001100000001100000,1100100111000100110011100000111001111110011001100110110010010011001001110011110010011001001111101001111001111100111111101001101100110110011111100101000100110011111001100101000111111001001100110011110011000001100110001001100110011101110011011001110011101001110011111101011001111100111111100011001100111110011001100110010111111110011111110010011101110011110011111111001100111001111111001111100100011100111001100110100110011100111100010011110011001111111110010011100111111110111010011011111111111001011001111001110011111100111100111100110010111110010010110010011001111110011010010010111100111111111000110100111100110111110011111,1100100111010100110011100000111001111110011001100110110011010011001001110011110010011001001110101001111001111100111111101001101100110110011111100111000100110011111001100101001111111101001100110011110011000001100110001001100111011101110011011001110011101001110111111101111001111100111111100011001100111110011011100110010111111110011111110010011101110011110011111111001110111001111111001111110100011100111101100110100110011100111100010011110011001111111110010011100111111110111010011011111111111001011001111001110011111100111100111100110010111110011010111000011001111110011110010110111100111111111000111100111100110111110011111
